Workflow Name,Target Data Table
KAIKU.wf_initKaikuMeta,KAIKU_STG.C_CONTROL_MASTER
,
,/kaiku/parameters/kaikuparameterfile11.dat
,
KAIKU.wf_InitPartyIdLkp,KAIKU_STG.STG_SVOC_SOR_CONTRACT_LKP
,KAIKU_STG.STG_SVOC_SOR_CONTRACT_PARTY_LKP
,
,
,KAIKU_STG.STG_PRODUCT_TYPES
,KAIKU_STG.STG_SVOC_SOR_CNTR_PROD_LKP
,
,
,
,KAIKU_STG.STG_SVOC_SOR_CNTR_PROD_LKP
,
,
,KAIKU_STG.STG_SVOC_SOR_CNTR_PROD_LKP
,
KAIKU.wf_mankeli_hierarchy_to_kaiku_stg,KAIKU_STG.STG_MANKELI_DIM_ACCT_HIERARCHY
,KAIKU_STG.STG_MANKELI_DIM_ORG_HIERARCHY
,KAIKU_STG.STG_MANKELI_DIM_VVFIELD_HIER
KAIKU.wf_mankeli_to_kaiku_stg,KAIKU_STG.STG_MANKELI_ORDER_MASTER_ASSETS
,KAIKU_STG.STG_MANKELI_ST_ANLA
,KAIKU_STG.STG_SOR_ANLA
,
,KAIKU_STG.STG_MANKELI_FACT_REVENUE
,KAIKU_STG.STG_MANKELI_FACT_ORDER
,KAIKU_STG.STG_MANKELI_FACT_COPA_ALL
,KAIKU_STG.STG_MANKELI_FACT_SAP_LINE_ITEM
,KAIKU_STG.STG_MANKELI_FACT_SAP_ALL
,KAIKU_STG.STG_MANKELI_DIM_COMPANY_CODE
,KAIKU_STG.STG_MANKELI_DIM_ORDER_HIERARCHY
,KAIKU_STG.STG_MANKELI_DIM_CUST_HIERARCHY
,KAIKU_STG.STG_MANKELI_DIM_PROD_HIERARCHY
KAIKU.wf_InvoiceData_ToKaikuSTG,KAIKU_STG.STG_SVOC_SOR_SOR_PRODUCT
,KAIKU_STG.STG_SVOC_SOR_SOR_PARTY
,
,
,KAIKU_STG.KAIKU_PERIOD_FREEZE
,
,KAIKU_STG.ST_INVOICE_HEADER_ROW
,
,
,KAIKU_STG.STG_SVOC_SOR_SOR_INVOICE_DATA
,
,
,
,
,
,
,
,
,KAIKU_STG.STG_SVOC_SOR_SOR_PARTY_CONTRACT
,
,
,KAIKU_STG.STG_SVOC_SOR_SOR_CONTRACT
KAIKU.wf_odw_busToKaikuSTG,KAIKU_STG.STG_DIM_CHARGECODE
,KAIKU_STG.STG_ODW_BUS4_BUS_TELLUS_HIST_RAW
,
,KAIKU_STG.STG_KAIKU_PROFIT_CENTER
,
,
,
,
,KAIKU_STG.STG_ODW_BUS4_BUS_TELLUS_HIST_F
,
,
,
,
,
,
,
,
,
KAIKU.wf_dynamo_kaiku_stg,KAIKU_STG.STG_DYNAMO_FACT_KAIKU
,KAIKU_STG.STG_SVOCSTG_FL_EMCE_BILLING_CARD
,
,KAIKU_STG.STG_SVOCSTG_FLEMCE_BUSINESS_PROD
,
,KAIKU_STG.STG_SVOCSTG_FLEMCE_NZ_COMPANY_V
,
KAIKU.wf_BASE_to_kaiku_stg,KAIKU_STG.STG_SVOC_BUS_FCT_CONTRACT_BASE_T
,
,KAIKU_STG.STG_SVOC_BUS_FCT_MOBILE_BASE_T
,
KAIKU.wf_enrich_sales_to_kaikustg,KAIKU_STG.STG_SVOC_STG_ST_EP_ENRICH
,
,
,
,KAIKU_STG.STG_SVOC_STG_ST_EP_ENRICH
,
,
,
,
KAIKU.wf_JPD_to_kaiku_stg,KAIKU_STG.STG_DIM_PARTY_SALESPERSON_JPD
,KAIKU_STG.STG_FL_JPD_HANDSETMODEL
,KAIKU_STG.STG_FL_JPD_HANDSETORDER
,KAIKU_STG.STG_FL_JPD_TICKET_CATEGORY
,KAIKU_STG.STG_FL_JPD_TICKETS
,KAIKU_STG.STG_FL_JPD_TITO_AGENT_ACTIONS
,KAIKU_STG.STG_SVOC_FL_JPD_DEVICEORDER
,KAIKU_STG.STG_SVOC_FL_JPD_GSMORDERS
,KAIKU_STG.STG_SVOC_FL_JPD_INTRATUNNUS
,KAIKU_STG.STG_TERRA_V_SOR_ELISA_JPD_MNP
,
,
,
,KAIKU_STG.STG_FL_JPD_TICKETS_CLOSED_HIST
